pipeline,open_source,workflow_language,package_management,resource_management_support,cloud_compute_support,supporting_documentation,workflow_language_type,package_management_options,resource_management_options,cloud_compute_options,language,date_last_updated,date_last_checked,description,github,weblink,paper,other_notes
nf-core/rnaseq,yes,yes,yes,yes,yes,extensive,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google",groovy,19/06/2021,26/07/2021,"RNA sequencing analysis pipeline using STAR, RSEM, HISAT2 or Salmon with gene/isoform counts and extensive quality control",https://github.com/nf-core/rnaseq,https://nf-co.re/rnaseq,https://www.nature.com/articles/s41587-020-0439-x,nextflow core pipeline (additional feature developed at https://github.com/cellgeni/rnaseq)
ENCODE-DCC/rna-seq-pipeline,yes,yes,yes,yes,yes,extensive,wdl,"docker, singularity","Univa Grid Engine, Platform LSF, SLURM, PBS/Torque","aws, google",python,27/02/2021,26/07/2021,"Align reads, generate signal tracks, and quantify genes and isoforms",https://github.com/ENCODE-DCC/rna-seq-pipeline,,,
nextflow-io/rnaseq-nf,yes,yes,yes,yes,yes,minimal,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google",groovy,4/07/2021,26/07/2021,A basic pipeline for quantification of genomic features from short read data implemented with Nextflow,https://github.com/nextflow-io/rnaseq-nf,,,"Described as a proof of concept of RNAseq pipeline, it doesn't look like it's intended for research analysis"
nunofonseca/irap,yes,no,yes,no,no,moderate,NA,docker,NA,NA,"R, bash, python",11/12/2018,26/07/2021,Flexible RNA-seq analysis pipeline that allows the user to select and apply their preferred combination of existing tools,https://github.com/nunofonseca/irap,https://github.com/nunofonseca/irap/wiki,,
nf-core/rnafusion,yes,yes,yes,yes,yes,extensive,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google",groovy,16/07/2020,26/07/2021,RNA-seq analysis pipeline for detection gene-fusions,https://github.com/nf-core/rnafusion,https://nf-co.re/rnafusion,,
sdparekh/zUMIs,yes,no,yes,no,yes,extensive,NA,conda,NA,aws,"R, perl, bash, python",20/07/2021,26/07/2021,A fast and flexible pipeline to process RNA sequencing data with UMIs,https://github.com/sdparekh/zUMIs,,https://doi.org/10.1093/gigascience/giy059,Rshiny interface for user
UMCUGenetics/RNASeq,yes,no,no,no,no,moderate,NA,NA,NA,NA,perl,25/05/2017,26/07/2021,"QC, alignment, counts, normalization, differential expression, variant calling",https://github.com/UMCUGenetics/RNASeq,,,
BIMSBbioinfo/pigx_rnaseq,yes,no,yes,yes,no,extensive,NA,guix,Sun Grid Engine,NA,"python, R, bash",24/07/2021,26/07/2021,Academic best practices for preprocessing and analysis of RNAseq data,https://github.com/BIMSBbioinfo/pigx_rnaseq,http://bioinformatics.mdc-berlin.de/pigx_docs/pigx-rna-seq.html,https://doi.org/10.1093/gigascience/giy123,
saketkc/rna-seq-snakemake,yes,yes,no,no,no,minimal,snakemake,NA,"Sun Grid Engine, SLURM",NA,"R, python, ",27/06/2019,26/07/2021,Snakemake based pipeline for RNA-Seq analysis,https://github.com/saketkc/rna-seq-snakemake,,,
cbcrg/kallisto-nf,yes,yes,yes,yes,yes,moderate,nextflow,"docker, singularity, podman, shifter, charliecloud, conda","Sun Grid Engine, Open Grid Engine, Univa Grid Engine, Platform LSF, SLURM, PBS/Torque, PBS Pro, Moab, NQSII, HTCondor, Apache Ignite, Kubernetes, OAR","aws, azure, google","groovy, R",3/06/2018,26/07/2021,A nextflow implementation of Kallisto & Sleuth RNA-Seq Tools,https://github.com/cbcrg/kallisto-nf,,,
